#area is 2173.1756square degrees
#effective area is 2147.7451156526713square degrees
#zmid zlow zhigh n(z) Nbin Vol_bin
0.015 0.01 0.02 0.26746735995498166 10834.298417448997 40506.992775763574
0.025 0.02 0.03 0.14623203238891622 15930.268555283546 108938.2968631365
0.035 0.03 0.04 0.11659354967085027 24500.248133420944 210133.82131847288
0.045 0.04 0.05 0.0898701975199915 30834.86489903927 343104.4523094555
0.05500000000000001 0.05 0.060000000000000005 0.06652739359171887 33720.4648566246 506865.8643621058
0.065 0.060000000000000005 0.06999999999999999 0.06204663891421257 43459.982838630676 700440.5653418177
0.075 0.06999999999999999 0.08 0.0505064154561262 46610.24812448025 922857.9716762821
0.08499999999999999 0.08 0.09 0.054048700266765164 63407.53792178631 1173155.6468301597
0.095 0.09 0.09999999999999999 0.040643221628500974 58948.10822737217 1450379.8140360736
0.105 0.09999999999999999 0.11 0.031814303947055644 55789.12499475479 1753586.2198210366
0.11499999999999999 0.11 0.12 0.030401658164823923 63291.417234539986 2081840.960496391
0.125 0.12 0.13 0.031151650370706063 75829.99227142334 2434220.7032065066
0.135 0.13 0.14 0.030787604905144945 86507.43478286266 2809813.723717311
0.14500000000000002 0.14 0.15000000000000002 0.028107700278256507 90161.64574837685 3207720.4771577804
0.15500000000000003 0.15000000000000002 0.16 0.02501204268484902 90720.02231037617 3627053.7138228053
0.165 0.16 0.17 0.022242765390025242 90459.98290967941 4066939.5789359063
0.17500000000000002 0.17 0.18000000000000002 0.02168563318124786 98160.39545404911 4526517.378285777
0.185 0.18000000000000002 0.19 0.020661177590839616 103407.96814751625 5004940.676438667
0.195 0.19 0.2 0.018498193899706146 101765.53919017315 5501377.03939787
0.20500000000000002 0.2 0.21000000000000002 0.016379859932207114 98525.01745951176 6015009.766096085
0.21500000000000002 0.21000000000000002 0.22 0.01564518935861955 102398.31909954548 6545035.458016378
0.225 0.22 0.23 0.013504878143804584 95758.61473917961 7090668.550986463
0.23500000000000001 0.23 0.24000000000000002 0.013195187651219086 100958.16333413124 7651135.095816834
0.245 0.24000000000000002 0.25 0.011276044542812948 92753.14793157578 8225681.228857345
0.255 0.25 0.26 0.010560004641454191 93071.31114721298 8813567.257523134
0.265 0.26 0.27 0.00950697157965474 89499.26234984398 9414066.46690473
0.275 0.27 0.28 0.008566308010140869 85889.88218510151 10026476.059864335
0.28500000000000003 0.28 0.29000000000000004 0.007640305814260352 81370.03004968166 10650101.190688921
0.29500000000000004 0.29000000000000004 0.3 0.00688231606587779 77661.90079891682 11284268.268927809
0.305 0.3 0.31 0.006319442181524197 75380.32164561749 11928318.905425347
0.315 0.31 0.32 0.005285556283305337 66500.81348001957 12581611.076598564
0.325 0.32 0.33 0.004693031626675603 62152.266297221184 13243521.723557593
0.335 0.33 0.34 0.004218273322598173 58690.66637134552 13913433.7400394
0.34500000000000003 0.34 0.35000000000000003 0.0038612095191105614 56337.98446333408 14590760.79256939
0.35500000000000004 0.35000000000000003 0.36000000000000004 0.0032316343356331586 49362.98728919029 15274929.698851228
0.365 0.36000000000000004 0.37 0.002985545216317822 47665.34202039242 15965372.676277788
0.375 0.37 0.38 0.002476594243641986 41263.897700071335 16661549.547733022
0.385 0.38 0.39 0.002193732805399533 38089.62295138836 17362927.179479953
0.395 0.39 0.4 0.001959934224547247 35414.054320812225 18069001.437531926
0.405 0.4 0.41000000000000003 0.0016972274841979224 31872.693502306938 18779270.19156738
0.41500000000000004 0.41000000000000003 0.42000000000000004 0.0014755858207610934 28763.966774225235 19493252.354098286
0.42500000000000004 0.42000000000000004 0.43 0.001184012479597452 23929.45055246353 20210471.565805808
0.435 0.43 0.44 0.001053353215988254 22047.205358862877 20930496.08072657
0.445 0.44 0.45 0.0009143423381113225 19798.14546227455 21652880.586465962
0.455 0.45 0.46 0.00076913458830389 17211.081105470657 22377203.37532194
0.465 0.46 0.47000000000000003 0.0006302510314981704 14560.713183879852 23103037.450438704
0.47500000000000003 0.47000000000000003 0.48000000000000004 0.0004947647819163081 11790.266971945763 23830044.90796627
0.485 0.48000000000000004 0.49 0.00042109391055027904 10341.127302885056 24557769.760601453
0.495 0.49 0.5 0.000334763113383109 8464.79225730896 25285916.87346896
