z nz
5.0000000000e-02 0.0000000000e+00
1.0000000000e-01 0.0000000000e+00
1.5000000000e-01 0.0000000000e+00
2.5000000000e-01 0.0000000000e+00
3.5000000000e-01 0.0000000000e+00
4.5000000000e-01 0.0000000000e+00
5.5000000000e-01 0.0000000000e+00
6.5000000000e-01 4.7000000000e+01
7.5000000000e-01 2.9000000000e+02
8.5000000000e-01 1.9500000000e+02
9.5000000000e-01 2.0500000000e+02
1.0500000000e+00 1.3500000000e+02
1.1500000000e+00 1.3000000000e+02
1.2500000000e+00 1.3200000000e+02
1.3500000000e+00 5.3000000000e+01
1.4500000000e+00 5.0000000000e+01
1.5500000000e+00 4.0000000000e+01
1.6500000000e+00 1.5000000000e+01
1.7500000000e+00 0.0000000000e+00
