z nz
2.5000000000e-02 1.4311304231e-01
7.5000000000e-02 6.2897083689e-01
1.2500000000e-01 7.3892861763e-01
1.7500000000e-01 8.5827680408e-01
2.2500000000e-01 2.3385624363e+00
2.7500000000e-01 4.9051333177e+00
3.2500000000e-01 1.1104112754e+01
3.7500000000e-01 2.2059633798e+01
4.2500000000e-01 2.5059419070e+01
4.7500000000e-01 2.8304845423e+01
5.2500000000e-01 3.4224230411e+01
5.7500000000e-01 3.9477958787e+01
6.2500000000e-01 4.3463035993e+01
6.7500000000e-01 4.6410226846e+01
7.2500000000e-01 4.9319258167e+01
7.7500000000e-01 5.5358118592e+01
8.2500000000e-01 5.9479476479e+01
8.7500000000e-01 5.2150623632e+01
9.2500000000e-01 4.1419705899e+01
9.7500000000e-01 3.0122619960e+01
1.0250000000e+00 1.9550340294e+01
1.0750000000e+00 1.2219347628e+01
1.1250000000e+00 7.3027455777e+00
1.1750000000e+00 4.1413382539e+00
1.2250000000e+00 1.9788165086e+00
1.2750000000e+00 1.1005300523e+00
1.3250000000e+00 5.6328697987e-01
1.3750000000e+00 2.3038306603e-01
1.4250000000e+00 9.0325086837e-02
1.4750000000e+00 7.4173397291e-02
