z nz
0.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000042e-02 3.609295874486836021e-03
4.000000000000000083e-02 1.425529265708917227e-02
5.999999999999999778e-02 3.155209577907851226e-02
8.000000000000000167e-02 5.501255947789563533e-02
1.000000000000000056e-01 8.408223177828853812e-02
1.199999999999999956e-01 1.181616175336990676e-01
1.400000000000000133e-01 1.566231710747866268e-01
1.600000000000000033e-01 1.988250646838194968e-01
1.799999999999999933e-01 2.441226472304562634e-01
2.000000000000000111e-01 2.918780815648761018e-01
2.200000000000000011e-01 3.414684577337139260e-01
2.399999999999999911e-01 3.922925829346228244e-01
2.600000000000000089e-01 4.437765971297674694e-01
2.800000000000000266e-01 4.953785335182792626e-01
2.999999999999999889e-01 5.465919252579792831e-01
3.200000000000000067e-01 5.969485486258899742e-01
3.400000000000000244e-01 6.460203853425902087e-01
3.599999999999999867e-01 6.934208814333508997e-01
3.800000000000000044e-01 7.388055758140077423e-01
4.000000000000000222e-01 7.818721682126699157e-01
4.199999999999999845e-01 8.223600927387660908e-01
4.400000000000000022e-01 8.600496601963415477e-01
4.600000000000000200e-01 8.947608290030656386e-01
4.799999999999999822e-01 9.263516612684399298e-01
5.000000000000000000e-01 9.547165171870695133e-01
5.200000000000000178e-01 9.797840374199879854e-01
5.400000000000000355e-01 1.001514959586518483e+00
5.600000000000000533e-01 1.019899811396295375e+00
5.799999999999999600e-01 1.034956519344829573e+00
5.999999999999999778e-01 1.046727968306762513e+00
6.199999999999999956e-01 1.055279543818414600e+00
6.400000000000000133e-01 1.060696685373585746e+00
6.600000000000000311e-01 1.063082475689427708e+00
6.800000000000000488e-01 1.062555287655367442e+00
7.000000000000000666e-01 1.059246507577133789e+00
7.199999999999999734e-01 1.053298350386201454e+00
7.399999999999999911e-01 1.044861779715557049e+00
7.600000000000000089e-01 1.034094543155474444e+00
7.800000000000000266e-01 1.021159330604900273e+00
8.000000000000000444e-01 1.006222061429222991e+00
8.200000000000000622e-01 9.894503041251433428e-01
8.399999999999999689e-01 9.710118303773708215e-01
8.599999999999999867e-01 9.510733037670305867e-01
8.800000000000000044e-01 9.297991019534158630e-01
9.000000000000000222e-01 9.073502698928164190e-01
9.200000000000000400e-01 8.838836005731433021e-01
9.400000000000000577e-01 8.595508388223865870e-01
9.599999999999999645e-01 8.344980029832089752e-01
9.799999999999999822e-01 8.088648186251551353e-01
1.000000000000000000e+00 7.827842579796262523e-01
1.020000000000000018e+00 7.563821784201502085e-01
1.040000000000000036e+00 7.297770530608186368e-01
1.060000000000000053e+00 7.030797863981983475e-01
1.080000000000000071e+00 6.763936078659775752e-01
1.100000000000000089e+00 6.498140361966598944e-01
1.120000000000000107e+00 6.234289075807776248e-01
1.140000000000000124e+00 5.973184607717554329e-01
1.159999999999999920e+00 5.715554724945713927e-01
1.179999999999999938e+00 5.462054367702208202e-01
1.199999999999999956e+00 5.213267820575729905e-01
1.219999999999999973e+00 4.969711204322085907e-01
1.239999999999999991e+00 4.731835233612758373e-01
1.260000000000000009e+00 4.500028189882236407e-01
1.280000000000000027e+00 4.274619062056829732e-01
1.300000000000000044e+00 4.055880811638942762e-01
1.320000000000000062e+00 3.844033722313132118e-01
1.340000000000000080e+00 3.639248797895899834e-01
1.360000000000000098e+00 3.441651176035190884e-01
1.380000000000000115e+00 3.251323528550040254e-01
1.400000000000000133e+00 3.068309422661101848e-01
1.419999999999999929e+00 2.892616620579202547e-01
1.439999999999999947e+00 2.724220297976258087e-01
1.459999999999999964e+00 2.563066164748312170e-01
1.479999999999999982e+00 2.409073474185925434e-01
1.500000000000000000e+00 2.262137909186658080e-01
1.520000000000000018e+00 2.122134336475536009e-01
1.540000000000000036e+00 1.988919421940903431e-01
1.560000000000000053e+00 1.862334102147364667e-01
1.580000000000000071e+00 1.742205908857231700e-01
1.600000000000000089e+00 1.628351144982418119e-01
1.620000000000000107e+00 1.520576911805975873e-01
1.640000000000000124e+00 1.418682988563707281e-01
1.660000000000000142e+00 1.322463566569738458e-01
1.679999999999999938e+00 1.231708841013972877e-01
1.699999999999999956e+00 1.146206464363441480e-01
1.719999999999999973e+00 1.065742865972894304e-01
1.739999999999999991e+00 9.901044430623005821e-02
1.760000000000000009e+00 9.190786286597284194e-02
1.780000000000000027e+00 8.524548424470795860e-02
1.800000000000000044e+00 7.900253306924907848e-02
1.820000000000000062e+00 7.315859016161996298e-02
1.840000000000000080e+00 6.769365626250348211e-02
1.860000000000000098e+00 6.258820658728080077e-02
1.880000000000000115e+00 5.782323685679005565e-02
1.900000000000000133e+00 5.338030143626466828e-02
1.919999999999999929e+00 4.924154420290680068e-02
1.939999999999999947e+00 4.538972274584662098e-02
1.959999999999999964e+00 4.180822648247386336e-02
1.979999999999999982e+00 3.848108925284710741e-02
2.000000000000000000e+00 3.539299692962490085e-02
