# z_mid  n(z)  [normalised: int(n(z))dz=1]
# maglim=mag_r_lsst<=24.5  mask=dp2_24p5_combined_mask_nmin=500_nside=512.fits
# N_total=185018080  N_maglim=137134326  N_final=104471348
# area_deg2=1351.8398  f_sky=0.032770  n_bar_arcmin2=21.466907  n_bar_deg2=77280.8652
1.250000000000000069e-02 1.546615728922445462e-02
3.750000000000000555e-02 1.264247863956529383e-01
6.250000000000000000e-02 2.337487804499606692e-01
8.750000000000000833e-02 3.437104701421984099e-01
1.125000000000000028e-01 4.159336176994816170e-01
1.375000000000000111e-01 4.899039944567411542e-01
1.625000000000000333e-01 6.892348108436006093e-01
1.875000000000000000e-01 6.532971173930582909e-01
2.125000000000000222e-01 6.788893143180066980e-01
2.374999999999999889e-01 7.451656780550287573e-01
2.625000000000000111e-01 8.032191108574846528e-01
2.875000000000000333e-01 8.845790185626490887e-01
3.125000000000000000e-01 8.607800103957649052e-01
3.375000000000000222e-01 8.375187290585095479e-01
3.625000000000000444e-01 9.086231443726690005e-01
3.875000000000000111e-01 9.235776185818478368e-01
4.125000000000000333e-01 9.451452902035628600e-01
4.375000000000000000e-01 9.808171842098298843e-01
4.625000000000000222e-01 1.020386448741953611e+00
4.875000000000000444e-01 1.025896233764062249e+00
5.124999999999999556e-01 1.038939939345735031e+00
5.375000000000000888e-01 9.921190225399701967e-01
5.625000000000000000e-01 9.796436834933179849e-01
5.875000000000001332e-01 9.588676652596676009e-01
6.125000000000000444e-01 9.402077016796491771e-01
6.374999999999999556e-01 8.880164105113091955e-01
6.625000000000000888e-01 8.683250378485339871e-01
6.875000000000000000e-01 8.689826425255088305e-01
7.125000000000001332e-01 8.215045040390864806e-01
7.375000000000000444e-01 7.992443750755132692e-01
7.624999999999999556e-01 7.562365696057771203e-01
7.875000000000000888e-01 7.137209144038993980e-01
8.125000000000000000e-01 7.355080429154843280e-01
8.375000000000001332e-01 6.769502039630133083e-01
8.625000000000000444e-01 6.494169817014845414e-01
8.874999999999999556e-01 6.293495066550230943e-01
9.125000000000000888e-01 5.969947437537526103e-01
9.375000000000000000e-01 5.832551338633649163e-01
9.625000000000001332e-01 5.547437390071978669e-01
9.875000000000000444e-01 5.205900424031022489e-01
1.012500000000000178e+00 5.027519889202229919e-01
1.037500000000000089e+00 4.837660954740976571e-01
1.062500000000000000e+00 4.559789466541329661e-01
1.087499999999999911e+00 4.463213115145885368e-01
1.112500000000000044e+00 4.218624006928251013e-01
1.137500000000000178e+00 3.938764767841301251e-01
1.162500000000000089e+00 3.728599368631528854e-01
1.187500000000000000e+00 3.592137780742106212e-01
1.212500000000000133e+00 3.525285773540032808e-01
1.237500000000000044e+00 3.336070272892009969e-01
1.262500000000000178e+00 3.265514691300683836e-01
1.287500000000000089e+00 3.007708380169594187e-01
1.312500000000000000e+00 2.922441910026955525e-01
1.337500000000000133e+00 2.864092421071149919e-01
1.362500000000000044e+00 2.757715193913453655e-01
1.387500000000000178e+00 2.688082633447060332e-01
1.412500000000000089e+00 2.544179427110566105e-01
1.437500000000000000e+00 2.426335290209930273e-01
1.462500000000000133e+00 2.344186410090922934e-01
1.487500000000000044e+00 2.316541735901030963e-01
1.512500000000000178e+00 2.218058062844937284e-01
1.537500000000000089e+00 2.090164102575740035e-01
1.562500000000000000e+00 1.996188296175437915e-01
1.587500000000000133e+00 1.876662805441418613e-01
1.612500000000000044e+00 1.737769190936509223e-01
1.637500000000000178e+00 1.656482052531650651e-01
1.662500000000000089e+00 1.574137844290769694e-01
1.687500000000000000e+00 1.487032991824613348e-01
1.712500000000000133e+00 1.415202032496347129e-01
1.737500000000000044e+00 1.346526962823452467e-01
1.762500000000000178e+00 1.269732371221689582e-01
1.787500000000000089e+00 1.221712292946146861e-01
1.812500000000000000e+00 1.156599089025066862e-01
1.837500000000000133e+00 1.116710022567914545e-01
1.862500000000000044e+00 1.056146814897540032e-01
1.887500000000000178e+00 1.022515908266694584e-01
1.912500000000000089e+00 1.001033644823759727e-01
1.937500000000000000e+00 9.756180092011323968e-02
1.962500000000000133e+00 9.372647579767517945e-02
1.987500000000000044e+00 9.039210985839560286e-02
2.012500000000000178e+00 8.530821674123534315e-02
2.037500000000000089e+00 8.044339751762757951e-02
2.062500000000000000e+00 7.485701323203924895e-02
2.087500000000000355e+00 6.866894173181638250e-02
2.112499999999999822e+00 6.349198050952806205e-02
2.137500000000000178e+00 5.935025833317044558e-02
2.162500000000000089e+00 5.460416796795650868e-02
2.187500000000000000e+00 5.204766754931519634e-02
2.212500000000000355e+00 4.886381916277360293e-02
2.237499999999999822e+00 4.519739541630869717e-02
2.262500000000000178e+00 4.207367745159881073e-02
2.287500000000000089e+00 3.915716049460202242e-02
2.312500000000000000e+00 3.582739051113123518e-02
2.337500000000000355e+00 3.421382702592736663e-02
2.362499999999999822e+00 3.262630729030666088e-02
2.387500000000000178e+00 3.015827902098462687e-02
2.412500000000000533e+00 2.838270809352079135e-02
2.437500000000000000e+00 2.676110168565153449e-02
2.462500000000000355e+00 2.497021090549172290e-02
2.487499999999999822e+00 2.294454338276604929e-02
2.512500000000000178e+00 2.172048715235741848e-02
2.537500000000000533e+00 2.030608175220125974e-02
2.562500000000000000e+00 1.961094343612126631e-02
2.587500000000000355e+00 1.832330981702432610e-02
