z bin_0 bin_1 bin_2 bin_3 bin_4
0.000000000000000000e+00 9.139375535604724043e-02 1.060591568322059820e-03 4.099318489286552432e-06 2.131916176120516887e-08 3.114201755090546520e-10
1.000000000000000021e-02 1.045790012890015497e-01 1.277719484001505834e-03 5.089944173032833755e-06 2.653326286797410730e-08 3.821193104031791496e-10
2.000000000000000042e-02 1.191999284026474121e-01 1.535455125479908388e-03 6.308024973591604506e-06 3.297732728200534573e-08 4.684110263904946987e-10
2.999999999999999889e-02 1.353352832366128133e-01 1.840572815189358896e-03 7.802842064355480436e-06 4.093026054030821534e-08 5.736290257286086139e-10
4.000000000000000083e-02 1.530557377363581661e-01 2.200812996087791584e-03 9.633658708165054017e-06 5.073151406038850377e-08 7.017961989496974722e-10
5.000000000000000278e-02 1.724216238937528178e-01 2.624989341819466710e-03 1.187158547830768305e-05 6.279360236326525838e-08 8.577619734168900988e-10
5.999999999999999778e-02 1.934805816070468143e-01 3.123102303270485977e-03 1.460176042977402636e-05 7.761706800071773598e-08 1.047365949730762042e-09
7.000000000000000666e-02 2.162651668298873897e-01 3.706458489884129071e-03 1.792589057368929273e-05 9.580834269968456799e-08 1.277632635225526776e-09
8.000000000000000167e-02 2.407904742722486724e-01 4.387795056063474933e-03 2.196520651018384542e-05 1.181010292085878248e-07 1.557002919620345275e-09
8.999999999999999667e-02 2.670518352263433481e-01 5.181408009159697500e-03 2.686388798407098901e-05 1.453812159446985020e-07 1.895608910566212301e-09
1.000000000000000056e-01 2.950226561744429543e-01 6.103283077215240424e-03 3.279302442603773996e-05 1.787175373510888177e-07 2.305599877214256560e-09
1.100000000000000006e-01 3.246524673583497389e-01 7.171227474007136997e-03 3.995518119991690046e-05 2.193968085938524509e-07 2.801528361785699802e-09
1.199999999999999956e-01 3.558652521421384884e-01 8.405000579234905844e-03 4.858964925004033181e-05 2.689661957575568010e-07 3.400807039477042368e-09
